Word,Frequency
金,299
庸,29
全,650
集,92
之,6959
《,301
笑,2409
傲,56
江,562
湖,524
》,301

,42705
作,614
者,443
:,1
整,63
理,444
制,173
，,68194
并,621
提,453
供,40
下,4972
载,85
一,15543
　,20
灭,84
门,2463
和,2616
风,1036
熏,9
柳,31
花,522
香,109
醉,60
人,10564
正,1413
是,13407
南,438
国,84
春,24
光,1477
漫,18
烂,93
季,13
节,93
。,22665
福,314
建,74
省,48
州,134
府,77
西,338
大,7094
街,71
青,817
石,455
板,153
路,494
笔,239
直,552
的,13825
伸,527
展,107
出,3878
去,3671
通,276
座,132
构,8
宏,15
伟,44
宅,24
第,536
前,1682
左,1447
右,563
两,1938
坛,70
中,5364
各,495
竖,30
根,424
丈,411
来,7022
高,1403
旗,140
杆,37
顶,234
飘,89
扬,218
首,290
上,5547
黄,382
色,710
丝,183
线,63
绣,54
着,2493
头,2695
张,404
牙,61
舞,82
爪,13
、,2334
神,975
态,41
威,326
猛,120
雄,428
狮,13
子,5351
随,407
招,1616
显,381
得,5783
更,688
奕,10
若,1144
生,1969
有,5512
对,1715
黑,656
蝙,1
蝠,1
翅,7
飞,339
翔,5
“,14247
镖,453
局,301
”,14154
四,1176
个,3547
字,687
银,138
钩,10
铁,362
划,92
刚,197
劲,181
非,808
凡,65
朱,21
漆,37
茶,134
杯,263
小,2313
铜,42
钉,39
闪,276
发,808
匾,21
额,61
写,144
面,1028
横,159
书,166
总,363
号,187
进,622
处,884
排,114
长,1727
凳,18
分,964
坐,526
八,668
名,1338
装,185
结,226
束,54
汉,457
腰,213
挺,159
股,145
英,316
悍,15
气,1757
突,653
然,3335
间,1111
后,2077
院,120
马,531
蹄,61
声,3776
响,473
那,4609
齐,465
站,450
起,2139
抢,210
只,3844
见,3557
侧,197
冲,6637
五,1275
骑,88
沿,29
道,14245
到,4252
当,2666
先,1031
匹,80
身,2984
雪,129
白,959
勒,31
脚,452
镫,1
都,1933
打,1046
就,1387
鞍,12
锦,47
衣,318
少,1350
年,1119
约,111
莫,401
十,1689
九,261
岁,138
纪,125
肩,210
停,143
猎,19
鹰,10
悬,69
宝,231
剑,5308
背,418
负,141
弓,22
泼,31
喇,38
纵,309
疾,171
驰,79
跟,1151
布,235
短,127
行,1556
口,1579
三,1695
叫,1831
了,13207
：,13486
又,3076
啦,316
！,2420
哈,744
鞭,63
在,5820
空,301
拍,292
虚,404
击,348
胯,5
昂,17
嘶,28
史,85
今,628
儿,1284
再,1515
抬,168
野,101
猪,29
回,813
伙,217
好,3215
饱,32
餐,15
顿,169
条,373
尾,35
巴,53
不,17455
你,7752
可,2818
别,717
灌,33
汤,35
众,1124
早,547
远,548
城,528
林,2510
平,1602
双,793
腿,197
轻,774
挟,34
翻,144
腾,41
片,312
刻,646
便,3934
将,2306
抛,73
离,200
他,8331
山,3865
坡,62
放,601
从,1136
赶,203
兔,27
取,362
旁,585
箭,76
袋,60
支,68
雕,14
翎,1
弯,75
搭,65
刷,132
应,393
而,1732
倒,885
待,379
要,2624
射,110
时,2648
另,332
却,2118
钻,69
入,839
草,211
丛,120
郑,142
听,2349
趟,36
手,4232
二,1549
快,807
这,8462
里,1383
鸡,67
过,2940
雉,2
竟,783
没,1628
急,592
向,2747
半,886
抽,100
力,1215
波,38
羽,13
毛,90
散,149
说,5844
兀,91
也,4230
追,211
逐,72
鸟,19
兽,25
陈,57
七,488
凑,32
兴,167
物,401
自,3181
己,1295
良,152
机,259
多,1708
辰,76
獐,1
类,50
犹,91
未,700
足,507
咱,964
们,3003
边,431
找,322
心,3618
想,2458
凭,107
性,506
天,1976
决,490
肯,227
罢,440
夫,1237
埋,54
怨,63
晚,480
尖,239
伤,1041
明,1066
知,2324
论,232
甚,2808
么,3498
话,1370
难,1148
劝,99
动,1041
位,1485
任,1121
但,1731
爱,228
异,289
常,260
能,1463
让,419
它,15
稍,110
损,75
宛,28
驹,25
外,844
婆,1040
洛,67
阳,222
重,784
价,30
觅,19
日,1567
送,315
给,1297
果,352
怕,700
我,8703
龙,98
聪,59
紧,307
会,1582
踏,116
吧,13
摔,145
破,418
屁,109
兜,16
转,855
原,688
北,176
阵,251
才,1014
尽,545
缓,330
挑,151
酒,948
喝,861
怎,1179
样,671
？,6077
新,148
鲜,166
肉,161
炒,4
假,164
经,366
事,1719
请,578
够,93
懒,21
洋,109
跃,258
步,799
走,1206
肆,28
往,348
店,198
主,1369
老,2070
蔡,23
已,2182
接,362
缰,18
味,91
啊,563
真,1238
法,2011
如,2334
世,385
奉,135
承,90
番,228
此,2428
静,365
悄,87
地,1392
炉,7
女,1079
鬟,1
插,132
荆,8
钗,4
料,410
水,391
脸,971
呢,245
牵,56
拉,226
开,1082
用,822
袖,125
拂,27
灰,50
尘,42
相,1280
陪,132
席,50
内,983
堂,215
咳,39
嗽,21
客,280
官,284
方,1755
音,626
还,1403
斤,41
竹,192
叶,125
哪,646
换,83
瞒,56
姓,459
萨,92
本,900
氏,51
幼,73
做,689
意,1262
媳,12
妇,246
死,1315
树,171
千,604
落,470
归,158
带,304
孙,89
故,184
乡,36
家,1352
亲,402
戚,6
朋,314
友,407
干,747
卖,79
唉,108
算,591
受,549
惭,57
愧,69
低,402
托,88
木,502
盘,153
等,973
筷,14
壶,47
桌,145
始,193
终,388
敢,647
瞧,998
眼,1463
形,243
婀,5
娜,5
肤,35
黝,7
粗,100
糙,3
似,579
痘,2
瘢,3
容,327
貌,129
丑,77
她,2038
初,126
勾,66
举,292
止,156
硬,120
拿,329
交,473
洗,84
剥,35
净,121
盆,86
爷,331
些,1013
牛,66
蚕,5
豆,27
吩,64
咐,82
端,201
公,581
侠,283
仗,85
义,228
挥,194
土,58
菜,87
倘,546
合,268
胃,14
钱,93
月,404
赚,3
谢,196
斟,50
仰,108
脖,9
舌,69
舐,6
嘴,193
唇,33
变,386
忽,524
乘,205
奔,335
倏,24
碗,182
川,42
穿,184
袍,62
系,95
榕,3
晃,185
即,869
刺,615
缠,93
斯,16
文,113
扮,82
赤,27
无,2689
耳,284
麻,118
鞋,32
所,1380
乃,161
诸,175
葛,51
亮,112
逝,32
为,2234
戴,57
孝,13
武,1383
侯,23
遗,79
深,457
以,1587
仍,293
免,343
希,59
奇,557
模,148
透,85
古,222
怪,619
格,156
把,380
累,70
坏,130
问,1370
虽,756
清,721
脆,29
怔,125
颏,9
惜,122
吃,504
惊,722
忙,325
退,346
余,1109
兄,1262
弟,2296
姑,705
娘,768
材,84
蛋,81
嘛,24
泥,69
榴,2
皮,146
东,635
狗,159
崽,24
撒,34
贾,97
骂,400
猜,104
谁,595
像,234
母,139
眉,161
目,445
秀,39
俊,46
美,228
消,119
男,213
挤,40
弄,78
势,485
必,659
忍,240
耐,57
住,1275
锡,3
避,226
溅,39
台,118
唱,25
旦,19
引,126
架,178
成,941
胆,188
太,1161
拳,156
脉,135
拖,53
立,512
定,1529
肘,19
撞,191
颈,69
喀,36
垮,5
连,805
脓,6
包,155
被,425
颇,180
尊,139
驾,89
既,514
同,806
冷,871
专,30
掌,1447
术,140
使,810
底,321
祖,392
传,569
云,262
乾,7
坤,7
抓,250
微,803
沉,258
化,260
扫,80
雾,36
看,898
怒,474
踢,132
扶,113
夹,48
帮,209
贼,269
强,421
胜,392
愿,216
助,91
顺,108
拾,101
断,411
叉,16
指,735
艺,73
喊,39
惯,19
嗓,26
洪,48
句,516
懂,66
父,1321
式,287
师,5116
拆,126
解,408
套,121
确,227
蠢,29
实,860
功,1412
碰,93
因,324
临,152
场,206
历,88
富,30
搏,34
斗,423
遭,83
际,107
曾,296
痞,5
恶,308
猫,45
何,1379
绝,407
鼻,101
肿,22
逃,221
夭,19
次,470
骄,15
渐,282
挫,7
觉,680
朗,124
越,598
准,86
乔,15
改,134
红,251
孔,100
愈,95
斜,168
血,476
流,296
襟,32
满,415
蓦,45
识,209
歹,26
龟,74
般,501
逗,13
玩,158
狂,112
骤,15
雨,77
宫,29
记,215
卸,11
诀,116
挡,251
膂,7
砰,79
胸,352
领,206
臂,294
掀,21
槛,4
磕,86
叔,322
